id,entity_type,name,normalized_name,category_code,status,founded_at,closed_at,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships
c:60068,Company,Say-Hey,say hey,public_relations,closed,2009-06-16,2012-04-22,0,0,1,95000.0,1,5
c:60186,Company,Blue Buzz Network,blue buzz network,news,closed,2006-01-01,2013-06-01,0,0,1,1310000.0,1,1
c:60229,Company,DormBrain,dormbrain,ecommerce,closed,2010-07-01,2011-01-01,0,0,0,0.0,1,1
c:60243,Company,Kiha Software,kiha software,software,closed,2008-01-01,2011-08-01,0,0,1,20000000.0,2,1
c:60275,Company,Labels.io,labels io,search,closed,2010-03-01,2012-06-14,0,0,0,0.0,3,1
c:60296,Company,99times.cn,99times cn,ecommerce,closed,2005-01-01,2013-05-01,0,0,1,0.0,0,0
c:6034,Company,Cloudcity,cloudcity,web,closed,2007-02-01,2009-02-02,0,0,1,5906548.0,0,1
c:60352,Company,World Blender,world blender,games_video,closed,2010-01-01,2011-02-01,0,0,1,12000.0,1,3
c:60461,Company,VisitorsCafe,visitorscafe,messaging,closed,2010-04-01,2013-01-01,0,0,1,0.0,1,1
c:6049,Company,TeleFlip,teleflip,mobile,closed,2004-01-01,2008-01-01,0,0,2,4900000.0,3,5
c:60516,Company,Lazarus Therapeutics,lazarus therapeutics,biotech,closed,2006-01-01,2012-02-01,0,0,1,100000.0,0,1
c:60616,Company,Flareo,flareo,search,closed,2010-04-01,2011-01-01,0,0,1,700000.0,0,0
c:60635,Company,Laboratory of Visual and Network Technologies,laboratory of visual and network technologies,games_video,closed,2009-11-16,2010-08-22,0,0,0,0.0,2,3
